"pack","used","x","y"
"Bow Valley",1,588900,5670800
"Bow Valley",1,567700,5686600
"Bow Valley",1,587500,5672700
"Bow Valley",1,588100,5671500
"Bow Valley",1,558477,5697212
"Bow Valley",1,586000,5674300
"Bow Valley",1,578950,5679200
"Bow Valley",1,588150,5671250
"Bow Valley",1,588155,5672074
"Bow Valley",1,584800,5675700
"Bow Valley",1,584800,5674850
"Bow Valley",1,584600,5674800
"Bow Valley",1,582400,5675950
"Bow Valley",1,568250,5685100
"Bow Valley",1,590500,5669600
"Bow Valley",1,585190,5674900
"Bow Valley",1,585750,5676250
"Bow Valley",1,585150,5676250
"Bow Valley",1,587350,5671500
"Bow Valley",1,569250,5684250
"Bow Valley",1,577000,5679350
"Bow Valley",1,587580,5673950
"Bow Valley",1,577500,5679200
"Bow Valley",1,588050,5673130
"Bow Valley",1,586500,5673200
"Bow Valley",1,582700,5676600
"Bow Valley",1,585440,5674890
"Bow Valley",1,586100,5677050
"Bow Valley",1,585150,5676700
"Bow Valley",1,587700,5671860
"Bow Valley",1,584100,5675400
"Bow Valley",1,575500,5680500
"Bow Valley",1,582200,5676400
"Bow Valley",1,582900,5676100
"Bow Valley",1,588200,5673100
"Bow Valley",1,582200,5675850
"Bow Valley",1,584900,5675850
"Bow Valley",1,584800,5676200
"Bow Valley",1,586800,5672050
"Bow Valley",1,584800,5676050
"Bow Valley",1,589400,5669300
"Bow Valley",1,578850,5679350
"Bow Valley",1,577200,5678950
"Bow Valley",1,573450,5681500
"Bow Valley",1,582400,5675900
"Bow Valley",1,582150,5676100
"Bow Valley",1,583600,5676400
"Bow Valley",1,585600,5675800
"Bow Valley",1,584800,5676370
"Bow Valley",1,580000,5677300
"Bow Valley",1,585200,5676000
"Bow Valley",1,574300,5681150
"Bow Valley",1,579600,5678400
"Bow Valley",1,585400,5676300
"Bow Valley",1,582450,5675700
"Bow Valley",1,583900,5675600
"Bow Valley",1,585400,5674600
"Bow Valley",1,579051,5678956
"Bow Valley",1,573600,5681700
"Bow Valley",1,582950,5676250
"Bow Valley",1,584300,5675500
"Bow Valley",1,582300,5676700
"Bow Valley",1,584800,5676500
"Bow Valley",1,584800,5676850
"Bow Valley",1,585560,5675200
"Bow Valley",1,584100,5677000
"Bow Valley",1,584890,5675900
"Bow Valley",1,589658,5670521
"Bow Valley",1,584800,5676300
"Bow Valley",1,585000,5676600
"Bow Valley",1,585922,5674697
"Bow Valley",1,578750,5679500
"Bow Valley",1,578700,5679600
"Bow Valley",1,584158,5675434
"Bow Valley",1,585700,5674700
"Bow Valley",1,588500,5673500
"Bow Valley",1,584850,5675250
"Bow Valley",1,578850,5679200
"Bow Valley",1,578800,5679170
"Bow Valley",1,573611,5681700
"Bow Valley",1,573870,5681130
"Bow Valley",1,585000,5675600
"Bow Valley",1,578500,5679250
"Bow Valley",1,585470,5674750
